DATE, COMPANY, CHANGE
02DEC2024, JS Global Banking, 0.310
02DEC2024, JS Global Banking, 0.280
02DEC2024, JS Global Cap., 1.310
02DEC2024, JS Investments, -1.070
02DEC2024, JS Momentum, 0.190
02DEC2024, JS Momentum, 0.180
02DEC2024, Jauharabad Sug, 1.430
02DEC2024, Jubilee Spinning, 0.000
02DEC2024, Javedan Corp., -0.220
02DEC2024, Kot Addu Power, -0.360
02DEC2024, Kot Addu Power, -0.730
02DEC2024, Kot Addu Power, -0.400
02DEC2024, Kot Addu Power, -0.420
02DEC2024, Karam Ceramics, 0.000
02DEC2024, K-Electric Ltd., 0.200
02DEC2024, K-Electric Ltd., 0.210
02DEC2024, K-Electric Ltd., 0.200
02DEC2024, K-Electric Ltd., 0.200
02DEC2024, Khyber Tobacco, -3.350
02DEC2024, Kohinoor Mills, -0.140
02DEC2024, Kohat Cement, 9.310
02DEC2024, Kohinoor Energy, 0.350
02DEC2024, Kohinoor Power, -0.170
02DEC2024, Kohat Textile, 2.840
02DEC2024, Kohinoor Ind., 0.070
02DEC2024, Kohinoor Spining, 0.240
02DEC2024, Kohinoor Spining, 0.190
02DEC2024, Kohinoor Spining, 0.240
02DEC2024, Kohinoor Spining, 0.240
02DEC2024, Khairpur Sugar, 0.000
02DEC2024, K.S.B.Pumps, 2.970
02DEC2024, KSE30, 461.000
02DEC2024, KSE30, 1632.000
02DEC2024, KSE30, 452.000
02DEC2024, Khalid Siraj, 0.970
02DEC2024, Kohinoor Textile, -4.270
02DEC2024, Lucky Core Ind., 21.300
02DEC2024, Leather Up Ltd., 0.000
02DEC2024, Land Mark Spinning, 1.750
02DEC2024, Loads Limited, 0.650
02DEC2024, Lotte Chemical, 0.210
02DEC2024, Lotte Chemical, 0.220
02DEC2024, Lotte Chemical, 0.210
02DEC2024, Lotte Chemical, 0.190
02DEC2024, Leiner Pak Gelat, 4.800
02DEC2024, Lalpir Power, -0.130
02DEC2024, Lalpir Power, -0.220
02DEC2024, Lalpir Power, -0.150
02DEC2024, Lalpir Power, -0.170
02DEC2024, LSE Capital Ltd.-XD, 0.120
02DEC2024, LSE Fin. Services-XD, -0.270
02DEC2024, LSE Ventures Ltd-XD, 0.450
